[0218/150440:ERROR:renderer_main.cc(226)] Running without renderer sandbox
[0218/150440:ERROR:renderer_main.cc(226)] Running without renderer sandbox
[0218/150440:ERROR:renderer_main.cc(226)] Running without renderer sandbox
[0218/150441:INFO:CONSOLE(8)] "The key "target-densitydpi" is not supported.", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209/index.html?mode=internal (8)
[0218/150441:INFO:CONSOLE(0)] "event.returnValue is deprecated. Please use the standard event.preventDefault() instead.", source:  (0)
[0218/150442:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=600maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/150442:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=600maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/150442:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=600maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/150442:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=600maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/150442:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=600maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/150442:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=600maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/150442:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=600maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/150442:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=600maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/150442:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=600maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/150442:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=600maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/150642:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=600maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/150642:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=600maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214337:ERROR:renderer_main.cc(226)] Running without renderer sandbox
[0218/214337:ERROR:renderer_main.cc(226)] Running without renderer sandbox
[0218/214337:ERROR:renderer_main.cc(226)] Running without renderer sandbox
[0218/214342:INFO:CONSOLE(8)] "The key "target-densitydpi" is not supported.", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/index.html?mode=internal (8)
[0218/214342:INFO:CONSOLE(0)] "event.returnValue is deprecated. Please use the standard event.preventDefault() instead.", source:  (0)
[0218/214343:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=462maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214343:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=462maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214343:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=462maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214343:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=462maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214343:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=462maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214343:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=462maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214343:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=462maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214343:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=462maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214343:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=462maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214343:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=462maxExposableOverlayHeight()=274", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214405:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214405:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214405:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
[0218/214405:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Videos/HPF%20Version%209/edge_includes/an.canvas.overlay.min.js (22)
